address,type,name
0x40ca40,function,BrActorRelink
0x4c61c0,function,PhysicsError
0x51de94,function,_bind@12
0x51de9a,function,_closesocket@4
0x51dea0,function,_ioctlsocket@12
0x51dea6,function,_setsockopt@20
0x51deac,function,_WSACleanup@0
0x51deb2,function,_WSAGetLastError@0
0x51deb8,function,_socket@12
0x51deca,function,_sendto@24
0x53fa90,function,BrLogWrite
0x54d036,function,_DirectSoundCreate@12
0x54d03c,function,_DirectInputCreateA@16
0x54d310,global,c_dfDIJoystick
0x54e3a0,function,TIFFFdOpen
0x54e63a,function,TIFFOpen
0x54e72b,function,TIFFScanlineSize
0x54e742,function,TIFFClose
0x54e7b6,function,_TIFFmemset
0x54e880,function,TIFFReadScanline
0x54e920,function,TIFFSeek
0x54ec54,function,TIFFReadRawStrip1
0x54ed98,function,TIFFFillStrip
0x54f509,function,TIFFReadBufferSetup
0x54f602,function,TIFFStartStrip
0x54f7bb,function,TIFFCheckRead
0x54f920,function,TIFFClose
0x54fcd5,function,TIFFScanlineSize
0x54fd90,function,TIFFVGetFieldDefaulted
0x5503cd,function,TIFFDefaultRefBlackWhite
0x550564,function,TIFFGetFieldDefaulted
0x5507bf,function,TIFFGetField
0x5507eb,function,TIFFVGetField
0x550c54,function,TIFFDefaultDirectory
0x552a90,function,_TIFFgetMode
0x552b14,function,TIFFClientOpen
0x553128,function,TIFFInitOrder
0x5532b1,function,TIFFError
0x5532e0,function,TIFFSwabShort
0x553311,function,TIFFSwabLong
0x5534dd,function,TIFFReverseBits
0x553f4e,function,_TIFFFindFieldInfo
0x554540,function,TIFFReadDirectory
0x55e000,function,gzread
0x55e210,function,gzwrite
0x56abe0,function,CloseMovieFile
0x56baa0,function,CloseMovieFile
0x56c720,function,CreateMovieFile
0x570ac0,function,DisposeHandle
0x575bb0,function,__chkstk
0x575bf0,function,_strchr
0x575cb0,function,_sscanf
0x575d00,function,_strtok
0x575de0,function,_sprintf
0x575e50,function,_floor
0x575f50,function,_strncat
0x576080,function,_memmove
0x576490,function,_qsort
0x5766d0,function,_strncpy
0x5767d0,function,_strstr
0x576860,function,_tolower
0x576960,function,_srand
0x576970,function,_rand
0x5769a0,function,__CIpow
0x576c30,function,__CIacos
0x576d00,function,_fprintf
0x576d40,function,_malloc
0x576d60,function,__nh_malloc
0x576db0,function,__heap_alloc
0x576df0,function,_ungetc
0x576e80,function,_fgetc
0x576ec0,function,_fseek
0x576f60,function,_strncmp
0x576fa0,function,_fread
0x5770e0,function,_rewind
0x577140,function,__fsopen
0x577170,function,_fopen
0x5771a0,function,_toupper
0x5772a0,function,_fsetpos
0x5772c0,function,_fgetpos
0x5772f0,function,_ftell
0x5774a0,function,_fwrite
0x5775f0,function,_free
0x577640,function,_fclose
0x577700,function,_fflush
0x577750,function,__flush
0x577930,function,_printf
0x577970,function,_strrchr
0x577a00,function,_atol
0x577b80,function,__isctype
0x577c20,function,_fscanf
0x577c40,function,_fputc
0x577c90,function,__strcmpi
0x577d20,function,__memicmp
0x577dc0,function,_time
0x577ef0,function,_fputs
0x577f40,function,___dtoxmode
0x578010,function,_stat
0x578400,function,__mkdir
0x5784b0,function,__cinit
0x5784e0,function,_exit
0x578500,function,__exit
0x578610,function,_fgets
0x5786d0,function,_ceil
0x5787d0,function,_strpbrk
0x578830,function,__alldiv
0x578a40,function,__amsg_exit
0x578aa0,function,_abort
0x578ac0,function,_getenv
0x578b50,function,_strtod
0x578c10,function,_strtol
0x578ec0,function,_strtoul
0x578ee0,function,_vsprintf
0x578f50,function,_longjmp
0x578fd0,function,__filbuf
0x5790c0,function,_memmove
0x579400,function,_memset
0x5799b0,function,_strlen
0x579a30,function,_strcpy
0x579a40,function,_strcat
0x579b20,function,_calloc
0x579bc0,function,_ldexp
0x579e20,function,_exp
0x579e54,function,_log
0x579f24,function,_sqrt
0x579fd0,function,_memchr
0x57a094,function,_log10
0x57a150,function,_sprintf
0x57a8b0,function,__input
0x57b6d0,function,__flsbuf
0x57b800,function,__output
0x57c2c0,function,__frnd
0x57c2e0,function,__handle_qnan1
0x57c330,function,__handle_qnan2
0x57c3b0,function,__except1
0x57c470,function,__except2
0x57c560,function,__raise_exc
0x57c8a0,function,__handle_exc
0x57cbd0,function,__umatherr
0x57cc80,function,__set_errno
0x57cce0,function,__errcode
0x57cd20,function,__set_exp
0x57cdf0,function,__sptype
0x57ce50,function,__decomp
0x57cf60,function,__statfp
0x57cf70,function,__clrfp
0x57cf90,function,__ctrlfp
0x57cfc0,function,__set_statfp
0x57d207,function,__startOneArgErrorHandling
0x57d265,function,__load_CW
0x57d27c,function,__convertTOStoQNaN
0x57d295,function,__fload_withFB
0x57d2d8,function,__checkTOS_withFB
0x57d630,function,___crtLCMapStringA
0x57e7b6,function,__fprem_common
0x57e9bc,function,__adj_fprem
0x57ed40,function,__stbuf
0x57ee00,function,__ftbuf
0x57ee80,function,__callnewh
0x57eea0,function,__heap_init
0x57ef50,function,___sbh_new_region
0x57f0c0,function,___sbh_release_region
0x57f120,function,___sbh_decommit_pages
0x57f1f0,function,___sbh_find_block
0x57f250,function,___sbh_free_block
0x57f2b0,function,___sbh_alloc_block
0x57f4f0,function,___sbh_alloc_block_from_page
0x57f670,function,___sbh_resize_block
0x57f910,function,__getbuf
0x57f970,function,__lseek
0x57fa30,function,_read
0x57fc90,function,__ioinit
0x57fec0,function,__openfile
0x580090,function,__getstream
0x580120,function,__fseeki64
0x5801d0,function,__ftelli64
0x5803c0,function,__write
0x5805e0,function,__close
0x5806c0,function,__freebuf
0x580700,function,__dosmaperr
0x580770,function,__commit
0x580840,function,__fltin
0x5808f0,function,__allmul
0x580ac0,function,___crtGetStringTypeA
